id,name,latitude,longitude
1,London,51.5074,-0.1278
2,Manchester,53.4808,-2.2426
3,Birmingham,52.4862,-1.8904
4,Leeds,53.8008,-1.5491
5,Glasgow,55.8642,-4.2518
6,Sheffield,53.3811,-1.4701
7,Bradford,53.7960,-1.7594
8,Liverpool,53.4084,-2.9916
9,Edinburgh,55.9533,-3.1883
10,Bristol,51.4545,-2.5879
11,Cardiff,51.4816,-3.1791
12,Leicester,52.6369,-1.1398
13,Coventry,52.4068,-1.5197
14,Hull,53.7457,-0.3367
15,Belfast,54.5973,-5.9301
16,Stoke,53.0027,-2.1794
17,Wolverhampton,52.5855,-2.1282
18,Plymouth,50.3755,-4.1427
19,Derby,52.9225,-1.4746
20,Southampton,50.9097,-1.4044
21,Portsmouth,50.8198,-1.0880
22,Newcastle,54.9783,-1.6178
23,Nottingham,52.9548,-1.1581
24,Preston,53.7632,-2.7031
25,Aberdeen,57.1497,-2.0943
